feature,image,centroid_x,centroid_y
star,multiple_streaks.jpg,84.0,805.0
star,multiple_streaks.jpg,1177.0,617.0
star,multiple_streaks.jpg,976.0,409.0
star,multiple_streaks.jpg,144.0,361.0
star,multiple_streaks.jpg,1195.0,328.0
star,multiple_streaks.jpg,893.0,669.0
star,multiple_streaks.jpg,130.0,361.0
object,multiple_streaks.jpg,1089.0,334.5
object,multiple_streaks.jpg,643.5,496.0
object,multiple_streaks.jpg,140.0,361.4998779296875
object,multiple_streaks.jpg,430.5,272.0
