feature,image,centroid_x,centroid_y
star,single_faint_streak.jpg,676.0,706.0
star,single_faint_streak.jpg,547.0,247.0
star,single_faint_streak.jpg,203.0,258.0
star,single_faint_streak.jpg,124.0,44.0
star,single_faint_streak.jpg,123.0,188.0
star,single_faint_streak.jpg,561.0,197.0
star,single_faint_streak.jpg,211.0,671.0
star,single_faint_streak.jpg,49.0,429.0
star,single_faint_streak.jpg,326.0,153.0
star,single_faint_streak.jpg,111.0,606.0
star,single_faint_streak.jpg,188.0,343.0
star,single_faint_streak.jpg,495.0,505.0
star,single_faint_streak.jpg,300.0,294.0
star,single_faint_streak.jpg,490.0,256.0
star,single_faint_streak.jpg,587.0,364.0
star,single_faint_streak.jpg,390.0,398.0
star,single_faint_streak.jpg,121.0,355.0
star,single_faint_streak.jpg,422.0,339.0
star,single_faint_streak.jpg,752.0,118.0
star,single_faint_streak.jpg,732.0,162.0
star,single_faint_streak.jpg,335.0,735.0
star,single_faint_streak.jpg,441.0,392.0
star,single_faint_streak.jpg,670.0,309.0
star,single_faint_streak.jpg,186.0,406.0
star,single_faint_streak.jpg,311.0,712.0
star,single_faint_streak.jpg,0.0,95.0
star,single_faint_streak.jpg,124.0,269.0
star,single_faint_streak.jpg,214.0,363.0
star,single_faint_streak.jpg,133.0,702.0
star,single_faint_streak.jpg,682.0,290.0
star,single_faint_streak.jpg,624.0,693.0
star,single_faint_streak.jpg,600.0,558.0
star,single_faint_streak.jpg,232.0,656.0
star,single_faint_streak.jpg,384.0,189.0
star,single_faint_streak.jpg,690.0,131.0
star,single_faint_streak.jpg,715.0,299.0
star,single_faint_streak.jpg,709.0,693.0
star,single_faint_streak.jpg,380.0,115.0
star,single_faint_streak.jpg,261.0,227.0
star,single_faint_streak.jpg,376.0,145.0
star,single_faint_streak.jpg,286.0,535.0
star,single_faint_streak.jpg,592.0,243.0
star,single_faint_streak.jpg,728.0,34.0
star,single_faint_streak.jpg,118.0,622.0
star,single_faint_streak.jpg,748.0,156.0
star,single_faint_streak.jpg,512.0,309.0
star,single_faint_streak.jpg,485.0,674.0
star,single_faint_streak.jpg,41.0,652.0
star,single_faint_streak.jpg,736.0,558.0
star,single_faint_streak.jpg,256.0,177.0
star,single_faint_streak.jpg,369.0,472.0
star,single_faint_streak.jpg,389.0,734.0
star,single_faint_streak.jpg,147.0,30.0
star,single_faint_streak.jpg,619.0,295.0
star,single_faint_streak.jpg,205.0,343.0
star,single_faint_streak.jpg,698.0,508.0
star,single_faint_streak.jpg,655.0,627.0
star,single_faint_streak.jpg,468.0,672.0
star,single_faint_streak.jpg,715.0,11.0
star,single_faint_streak.jpg,704.0,169.0
star,single_faint_streak.jpg,358.0,469.0
star,single_faint_streak.jpg,502.0,418.0
star,single_faint_streak.jpg,206.0,91.0
star,single_faint_streak.jpg,675.0,331.0
star,single_faint_streak.jpg,590.0,574.0
star,single_faint_streak.jpg,256.0,254.0
star,single_faint_streak.jpg,570.0,13.0
star,single_faint_streak.jpg,574.0,6.0
star,single_faint_streak.jpg,703.0,209.0
star,single_faint_streak.jpg,460.0,355.0
